isbn_or_asin,book_title,author,publisher,published_date,central_opac_link,mathlib_opac_link
4810530116,楽譜の校訂術,ジェイムズ・グリーア／著 高久桂／翻訳,道和書院,20230428,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01900636,
4788517981,２ちゃん化する世界,石井大智／編著 清義明／著 安田峰俊／著 藤倉善郎／著,新曜社,20230222,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD00749029,
4326303247,質的研究アプローチの再検討 : 人文・社会科学からEBPsまで,"井頭,昌彦",勁草書房,202303,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01484054,
4320114892,証明作法 = The Practice of Proof Writing : 論理の初歩から証明の実践へ,"石原,哉",共立出版,202303,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01337796,
4766422031,現代の事例から学ぶサイエンスコミュニケーション,ジョン・K・ギルバート／監訳 スーザン（またはスー）・ストックルマイヤー／著・編集 ほか,慶應義塾大学出版会,20150408,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB18419609,
4335359349,Liberty2.0 : 自由論のバージョン・アップはありうるのか?,"駒村,圭吾,1960-",弘文堂,202302,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD00752522,
446921258X,ことばはどこで育つか,"藤永,保,1926-2016",大修館書店,200102,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA50711263,
4771036934,就活の社会学 : 大学生と「やりたいこと」,"妹尾,麻美,1988-",晃洋書房,202301,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD00522952,
4422215450,奇妙な国境や境界の世界地図,"Nikolić,Zoran,1975- 松田,和也,1963-",創元社,202301,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD00395050,
4873119650,Googleのソフトウェアエンジニアリング : 持続可能なプログラミングを支える技術、文化、プロセス,"Winters,Titus Manshreck,Tom Wright,Hyrum 竹辺,靖昭 ほか",オーム社 (発売),202111,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC11277660,
448068431X,私たちはどう学んでいるのか,鈴木宏昭／著,筑摩書房,20220609,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC15107287,
4334035086,難解な本を読む技術,"高田,明典,1961-",光文社,200905,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA90034954,
415050251X,火星の人類学者 : 脳神経科医と7人の奇妙な患者,"Sacks,Oliver,1933-2015 吉田,利子,1946-",早川書房,200104,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA52241761,
400006343X,拡散モデル = Diffusion Models : データ生成技術の数理,"岡野原,大輔,1982-",岩波書店,202302,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD00778548,
4320035763,実践計算物理学 = Computational Physics Practical Use of Python for Studying Physics : 物理を理解するためのPython活用法,"野本,拓也 是常,隆 有田,亮太郎 須藤,彰三 岡,真,1953-",共立出版,202301,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD00251119,
4627077319,科学者・技術者のための基礎線形代数と固有値問題,"柴田,正和",森北出版,201312,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB14336736,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784627077317&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
4883842266,はじめての人のための経済学史,"江頭,進,1966-",サイエンス社,201506,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB18904830,
4781915264,ガイダンス確率統計 : 基礎から学び本質の理解へ,"石谷,謙介",サイエンス社,202112,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC11593230,
4562071990,ポワロと私 : デビッド・スーシェ自伝,"Suchet,David,1946- Wansell,Geoffrey,1945- ほか",原書房,202210,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC17297933,
4814000480,科学論文の英語用法百科　第２編,グレン・パケット／著,京都大学学術出版会,20161017,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2221665X,
4535787603,学んでみよう!記号論理,"高崎,金久,1956-",日本評論社,201408,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB1644619X,
4788508427,神、人を喰う : 人身御供の民俗学,"六車,由実,1970-",新曜社,200303,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA61847518,
4641163642,比較制度分析・入門,中林真幸／編集 石黒真吾／編集,有斐閣,20101223,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB0432979X,
4896944712,図説数の文化史 : 世界の数字と計算法,"Menninger,Karl,1898-1963 内林,政夫,1930-",八坂書房,200104,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA51768812,
4641165483,実証のための計量時系列分析,ウォルター・エンダース（Walter／著 新谷元嗣／翻訳 藪友良／翻訳,有斐閣,20191212,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29344647,
425412841X,経済・ファイナンスのためのカルマンフィルター入門,"森平,爽一郎,1947-",朝倉書店,201902,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27703782,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784254128413&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
4002710521,「私物化」される国公立大学,"駒込,武,1962-",岩波書店,202109,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC09664223,
4774407763,調べる技術,小林昌樹／著,皓星社,20221209,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC18847472,
4274229181,Pythonで始める機器分析データの解析とケモメトリックス = Chemometrics Starting with Python,"森田,成昭",オーム社,202209,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16891021,
4910612041,大学院・大学編入のための応用数学 : 基本事項の整理と問題演習および入試問題研究,"桜井,基晴",プレアデス出版,202209,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16505365,
453554042X,経済論文の書き方 = The Craft of Economic Research Writing,日本評論社,日本評論社,202209,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16683024,
