isbn_or_asin,book_title,author,publisher,published_date,exist_in_sophia
4389201395,ひとりで学べる地学,,清水書院,201909,No
4839970491,マンガで学ぶ昆虫の進化,"金,渡潤 山口,裕美子,pub.2020",マイナビ出版,202005,No
4560073740,縞模様の歴史 : 悪魔の布,"ミシェル・パストゥロー [著],松村剛, 松村恵理 訳,Pastoureau, Michel, 1947-,松村, 剛, 1960-,松村, 恵理, 1962-,",白水社,"Fri, 01 Oct 2004 09:00:00 +0900",No
4588622102,数学書として憲法を読む,秋葉忠利／著,法政大学出版局,20190717,No
4480098844,中世の覚醒,リチャード・Ｅ．ルーベンスタイン／著 小沢千重子／翻訳,筑摩書房,20181010,No
4588140051,中世の食生活　〈新装版〉 断食と宴,B.A.ヘニッシュ／著 藤原保明／訳,法政大学出版局,20150223,No
4635320146,マタギ奇談,"工藤,隆雄,1953-",山と溪谷社,201610,No
4150503915,予想どおりに不合理 : 行動経済学が明かす「あなたがそれを選ぶわけ」,"Ariely,Dan,1967- 熊谷,淳子",早川書房,201308,No
448006513X,完全教祖マニュアル,架神恭介／著 辰巳一世／著,筑摩書房,20091101,No
4621063014,暗号の代数理論,"N. コブリッツ著 ; 林彬訳 ; シュプリンガー・ジャパン編集,Koblitz, Neal,林, 彬,シュプリンガージャパン,",丸善出版,,No
4781617417,ダークウェブ・アンダーグラウンド : 社会秩序を逸脱するネット暗部の住人たち,"木澤,佐登志,1988-",イースト・プレス,201901,No
4774197076,超有名進学校生の数学的発想力 : 日本最高峰の頭脳に迫る,"吉田信夫著,吉田, 信夫,",技術評論社,,No
4041080606,怪と幽 = KWAI & yoo vol.003,,KADOKAWA,201912,No
4041080592,怪と幽 = KWAI & yoo vol.002,,KADOKAWA,201908,No
4041080584,怪と幽 = KWAI & yoo vol.001,,KADOKAWA,201904,No
4041091152,怪と幽 = KWAI & yoo vol.004,,KADOKAWA,202004,No
477419607X,試して理解Linuxのしくみ : 実験と図解で学ぶOSとハードウェアの基礎知識,"武内,覚",技術評論社,201803,No
4286210456,1日30分であなたも現代の魔術師になれる : 混沌魔術入門,"黒野忍 著,黒野, 忍, 1971-,",文芸社,"Mon, 06 Apr 2020 09:00:00 +0900",No
