isbn_or_asin,book_title,author,publisher,published_date,exist_in_sophia,central_opac_link,mathlib_opac_link
4627854919,多倍長精度数値計算,幸谷智紀／著,森北出版,20191122,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29274596,
4535783616,インドラの真珠 : クラインの夢みた世界,"Mumford,David／著 Series,Caroline／著 Wright,DavidJames／著 ほか",日本評論社,2013-03,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB11984092,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=4535783616&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
4121007409,元禄御畳奉行の日記 : 尾張藩士の見た浮世,神坂次郎／著,中央公論社,1984-09,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN00371030,
4000291467,古典注釈入門 歴史と技法,鈴木健一／著,岩波書店,2014-10,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB16865148,
4393299272,情報時代のオウム真理教,井上順孝／編集 国際宗教研究所宗教情報リサーチセンター／著 宗教情報リサーチセンター／著 ほか,春秋社,2011-07,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB06367224,
4003600371,子規紀行文集,復本一郎／編集,岩波書店,20191215,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29378514,
4003326210,随園食単,袁枚／著 青木正児／翻訳,岩波書店,19800116,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN00770670,
4787273566,ロバート・キャパの謎,吉岡栄二郎／著,青弓社,20140823,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB16567048,
4794810679,ハイン　地の果ての祭典,アン・チャップマン／著 大川豪司／翻訳,新評論,20170424,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB23659984,
4320113837,１足す１から現代数論へ,AvnerAsh／著 RobertGross／著 新妻弘／翻訳,共立出版,20190727,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2866410X,
4788515350,セミオトポス 12　「美少女」の記号論,日本記号学会／編集,新曜社,20170831,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB24387642,
4106108208,ケーキの切れない非行少年たち,宮口幸治／著,新潮社,20190713,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28553379,
4327472360,グロリアーナの祝祭,竹村はるみ／著,研究社,20180822,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26654171,
4309416837,グレン・グールド,吉田秀和／著,河出書房新社,20190508,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28112078,
4582415288,共同研究ポルノグラフィー,大浦康介／著 京都大学人文科学研究所共同研究班／著,平凡社,2011-04,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB05482872,
478727340X,戦後日本の聴覚文化 音楽・物語・身体,広瀬正浩／著,青弓社,20130920,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB13671564,
479176496X,指紋論 : 心霊主義から生体認証まで,橋本一径／著,青土社,2010-11,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB03761649,
4130101404,イメージ学の現在,坂本泰宏／編集 田中純／編集 竹峰義和／編集,東京大学出版会,20190501,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28116567,
4787233211,サブカルで読むセクシュアリティ,谷川建司／編著 王向華／編著 呉咏梅／編著,青弓社,20101122,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB04115377,
4815807302,アニメ・マシーン,トーマス・ラマール／訳 藤木秀朗／監修 大﨑晴美／翻訳,名古屋大学出版会,2013-05-01,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB1248497X,
4887218184,黒の文化史,"Harvey,J.R.／著 Harvey,JohnRobert／著 富岡由美／翻訳 ほか",東洋書林,2014-07,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB16294251,
4065162629,ディープラーニングと物理学　原理がわかる、応用ができる,田中章詞／著 富谷昭夫／著 橋本幸士／著,講談社,20190622,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28386200,
4873118816,Python計算機科学新教本,DavidKopec／著 黒川利明／翻訳,オライリー・ジャパン,20190626,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2842988X,
4385365326,ビジュアル音声学,川原繁人／著,三省堂,20180628,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26350734,
4909710051,いかにしてアーサー王は日本で受容されサブカルチャー界に君臨したか〈アーサー版〉,岡本広毅／編 小宮真樹子／編,みずき書林,20190310,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27953145,
4163910174,世にも危険な医療の世界史,リディア・ケイン／著 ネイト・ピーダーセン／著 福井久美子／翻訳,文藝春秋,20190418,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28150747,
4582513352,10万個の子宮,村中璃子／著,平凡社,20180209,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB25525763,
4861826500,夢と幽霊の書,アンドルー・ラング／著 ないとうふみこ／翻訳 吉田篤弘／解説,作品社,20170821,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB24258231,
4802510705,THE BOOK OF CIRCLES,マニュエル・リマ／著 三中信宏／翻訳,ビー・エヌ・エヌ新社,20180223,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB25833856,
4896942612,鐘の本 : ヨーロッパの音と祈りの民俗誌,"パウル・ザルトーリ [著],吉田孝夫 訳,Sartori, Paul, 1857-1936,吉田, 孝夫, 1968-,",八坂書房,"Tue, 18 Jun 2019 09:00:00 +0900",Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28066684,
4896942523,西欧中世宝石誌の世界 : アルベルトゥス・マグヌス『鉱物書』を読む,"アルベルトゥス・マグヌス [著],大槻真一郎 著,澤元亙 編,Albertus, 1193?-1280,大槻, 真一郎, 1926-2016,澤元, 亙, 1965-,",八坂書房,"Tue, 11 Sep 2018 09:00:00 +0900",Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26857849,
4896942337,ピカトリクス 中世星辰魔術集成,大橋喜之／翻訳,八坂書房,2017-04,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB23575749,
4105067060,性の歴史 ３ 自己への配慮,ミシェル・フーコー／著,新潮社,19870428,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN01003699,
4105067052,性の歴史 ２ 快楽の活用,ミシェル・フーコー／著,新潮社,19861103,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN00561207,
4105067044,性の歴史 １ 知への意志,ミシェル・フーコー／著,新潮社,19860912,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN00482202,
456050931X,フェティシズム,"Assoun,Paul-Laurent／著 守谷てるみ／翻訳 西尾彰泰／翻訳 AssounPaul‐Laurent／著 ほか",白水社,2008-12,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA8822579X,
4894348241,快楽の歴史,"Corbin,Alain／著 尾河直哉／翻訳",藤原書店,2011-10,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB07235014,
4756602746,ポルノグラフィの発明,リン・ハント／編著 正岡和恵／訳 末廣幹／訳,ありな書房,20020801,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA58464463,
4753103471,フェティッシュとは何か,ウィリアム・ピーツ／著 杉本隆司／翻訳,以文社,20180816,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2672780X,
4759818146,性倒錯者 だれもが秘める愛の逸脱,JesseBering／著 鈴木光太郎／翻訳,化学同人,20160115,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB20578332,
4887217927,ニューヨーク地下都市の歴史,"Solis,Julia／著 綿倉実香／翻訳 ソリスジュリア／著",東洋書林,2011-07,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB06454373,
4887217935,ベルリン地下都市の歴史,"Arnold,Dietmar／著 Arnold,Ingmar／著 Salm,Frieder／著 ほか",東洋書林,2011-09,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB06972163,
4887217730,パリ地下都市の歴史,"Faÿ,Olivier／著 Liehr,Günter／著 古川まり／翻訳 Fa¨yOlivier／著 ほか",東洋書林,2009-09,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA91531852,
4896941683,図説西洋護符大全,"Hansmann,Liselotte／著 Kriss-Rettenbeck,Lenz／著 ほか",八坂書房,2014-05,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB15581462,
4562056010,赤の歴史文化図鑑,ミシェル・パストゥロー／著 蔵持不三也／翻訳 城谷民世／翻訳,原書房,20180926,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26944466,
4309227686,黒の服飾史,徳井淑子／著,河出書房新社,20190522,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28211127,
