isbn_or_asin,book_title,author,publisher,published_date,utokyo_opac
4764905132,IT技術者の長寿と健康のために,"情報通信医学研究所,長野, 宏宣, 1945-,中川, 晋一, 1961-,蒲池, 孝一, 1947-,情報通信医学研究所 編,長野宏宣, 中川晋一, 蒲池孝一, 櫻田武嗣, 坂口正芳, 八尾武憲, 衣笠愛子, 穴山朝子 編著",近代科学社,"Wed, 10 Aug 2016 01:11:29 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB21703123
4798061700,実践Rustプログラミング入門,"初田, 直也,山口, 聖弘,吉川, 哲史,豊田, 優貴,松本, 健太郎, webエンジニア,原, 将己,中村, 謙弘,フォルシア株式会社,初田直也, 山口聖弘, 吉川哲史, 豊田優貴, 松本健太郎, 原将己, 中村謙弘 著,フォルシア株式会社 監修",秀和システム,"Thu, 22 Oct 2020 07:07:45 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC02162486
4344953304,幼なじみ萌え : ラブコメ恋愛文化史,"玉井, 建也,玉井建也 著",[object Object],"Thu, 21 Dec 2017 22:12:59 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB25511995
4434046683,ハッカーのたのしみ : 本物のプログラマはいかにして問題を解くか,"Warren, Henry S,滝沢, 徹,ヘンリー・S.ウォーレン・ジュニア 著,滝沢徹 [ほか]訳",[object Object],"Wed, 17 Nov 2004 18:33:18 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA69226988
4774153265,人間に勝つコンピュータ将棋の作り方,"コンピュータ将棋協会,コンピュータ将棋協会 監修",技術評論社,"Thu, 15 Nov 2012 19:26:24 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB10374110
4297102838,逆引きPIC電子工作やりたいこと事典,"後閑, 哲也, 1947-,後閑哲也 著",技術評論社,"Thu, 13 Jun 2019 19:43:25 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB28228061
4588276476,鉄道旅行の歴史 : 19世紀における空間と時間の工業化,"Schivelbusch, Wolfgang, 1941-,加藤, 二郎, 1925-,ヴォルフガング・シヴェルブシュ 著,加藤二郎 訳",法政大学出版局,"Tue, 30 Oct 2012 00:16:38 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB07866139
4297130343,リアルタイムグラフィックスの数学 : GLSLではじめるシェーダプログラミング,"巴山, 竜来, 1982-,巴山竜来 著",技術評論社,"Wed, 28 Sep 2022 23:19:08 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC1650867X
4320122992,量子情報科学入門,"石坂, 智,小川, 朋宏,河内, 亮周,石坂智, 小川朋宏, 河内亮周, 木村元, 林正人 著",共立出版,"Tue, 25 Sep 2012 23:55:47 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09394904
4297129140,作って学ぶコンピュータアーキテクチャ : LLVMとRISC-5による低レイヤプログラミングの基礎,"木村, 優之,木村優之 著",技術評論社,"Thu, 4 Aug 2022 00:54:32 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC15528922
4484121034,性欲の科学 : なぜ男は「素人」に興奮し、女は「男同士」に萌えるのか,"Ogas, Ogi,Gaddam, Sai,坂東, 智子, 1955-,オギ・オーガス, サイ・ガダム 著,坂東智子 訳",阪急コミュニケーションズ,"Wed, 17 Feb 2021 01:19:07 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB0861535X
4297128462,達人が教えるWebパフォーマンスチューニング : ISUCONから学ぶ高速化の実践,"藤原, 俊一郎,馬場, 俊彰,中西, 建登,長野, 雅広,金子, 達哉, 1991-,草野, 翔,藤原俊一郎, 馬場俊彰, 中西建登, 長野雅広, 金子達哉, 草野翔 著",技術評論社,"Sat, 30 Jul 2022 00:26:29 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC14932649
490381419X,これならわかる工学部で学ぶ数学,"千葉, 逸人, 1982-,千葉逸人 著",プレアデス出版,"Thu, 10 Sep 2009 18:14:05 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB07134061
4478013322,完全独習ベイズ統計学入門,"小島, 寛之, 1958-,小島寛之 著",ダイヤモンド社,"Thu, 4 Aug 2016 07:02:03 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB20006408
4806714453,〈図説〉日本の結び,"藤原, 覚一, 1895-1990,藤原覚一 著",築地書館,"Sun, 29 Oct 2023 21:00:34 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB10461270
4765318699,診察室の陰性感情,"加藤, 温,加藤温 著",金芳堂,"Wed, 23 Jun 2021 19:16:34 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC07553607
458276763X,職人歌合 / 平凡社ライブラリー ; 763,"網野, 善彦, 1928-2004,網野善彦 著",平凡社,"Thu, 13 Sep 2012 23:19:40 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09154296
4798044784,"ハロー""Hello,World""OSと標準ライブラリのシゴトとしくみ : たった7行のCプログラムから解き明かす","坂井, 弘亮, 1973-,坂井弘亮 著",秀和システム,"Wed, 11 Nov 2015 22:31:37 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB19517170
4779516269,なぜあなたは国際誌に論文を掲載できないのか : 誰も教えてくれなかった本当に必要なこと,"加藤, 司, 心理学,加藤司 著",ナカニシヤ出版,"Wed, 5 Oct 2022 23:20:57 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC13896696
0472034758,Academic Writing for Graduate Students: Essential Tasks and Skills,"John M. Swales,Christine B. Feak",University of Michigan Press ELT,2012-07-09,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09789061
4044004951,秘境旅行 / [角川ソフィア文庫] ; [J110-4],"芳賀, 日出男, 1921-,芳賀日出男 [著]",KADOKAWA,"Fri, 28 Feb 2020 23:42:54 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB29655159
415209558X,世界を破綻させた経済学者たち : 許されざる七つの大罪,"Madrick, Jeffrey G,池村, 千秋, 1971-,ジェフ・マドリック 著,池村千秋 訳",早川書房,"Wed, 21 Oct 2015 23:34:05 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB19401416
4065259797,迷走しない!英語論文の書き方 : 秘密は「構造」作りにあり,"Chaubey, Varanya,成田, 悠輔,布施, 雄士,ヴァランヤ・チョーベー 著,成田悠輔 監訳,布施雄士 訳",講談社,"Fri, 25 Feb 2022 22:10:32 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC12475171
4336073198,法の書 : [布装],"Crowley, Aleister,植松, 靖夫,アレイスター・クロウリー著 ; 植松靖夫訳",国書刊行会,"Sun, 27 Jul 2025 00:39:34 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC12998941
4480097635,数学基礎論 / ちくま学芸文庫 ; マ41-1. [Math & Science],"前原, 昭二, 1927-1992,竹内, 外史, 1926-2017,前原昭二, 竹内外史 著",筑摩書房,"Wed, 17 May 2017 07:01:51 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB22793165
4873117127,コンピュータシステムの理論と実装 : モダンなコンピュータの作り方,"Nisan, Noam,Schocken, Shimon,斎藤, 康毅, 1984-,Noam Nisan, Shimon Schocken 著,斎藤康毅 訳",[object Object],"Wed, 6 Jan 2016 07:01:38 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB18347825
4839909865,CPUの創りかた : IC10個のお手軽CPU設計超入門 : 初歩のデジタル回路動作の基本原理と製作,"渡波, 郁,渡波郁 著",毎日コミュニケーションズ,"Tue, 13 Dec 2005 08:59:59 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA64084966
4404035861,危ない食卓 : 十九世紀イギリス文学にみる食と毒,"横山, 茂雄, 1954-,横山茂雄 編",新人物往来社,"Tue, 31 Mar 2009 18:43:39 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA88260440
4297125161,"暗号から学ぶ代数学 / 数学のみかた,考え方","川添, 充, 1968-,上野, 健爾, 1945-,川添充 著,上野健爾 監修",技術評論社,"Fri, 24 Dec 2021 00:58:02 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC11098661
4322139884,飲みの技法,"Opsopäus, Vincentius,原澤, 隆三郎, 1951-,V. Obsopoeus 著,原澤隆三郎 訳",きんざい,"Wed, 3 Nov 2021 01:39:29 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC10304440
4094070400,安楽死を遂げた日本人 / 小学館文庫 ; み20-2,"宮下, 洋一, 1976-,宮下洋一 著",小学館,"Wed, 14 Jul 2021 19:27:36 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC08416612
4062920484,図説金枝篇 下 / 講談社学術文庫 ; 2048,"Frazer, James George, 1854-1941,MacCormack, Sabine,吉岡, 晶子, 1942-,Douglas, Mary, 1921-2007,J.G.フレーザー 著,S.マコーマック 編,吉岡晶子 訳,M.ダグラス 監修",講談社,"Wed, 2 Mar 2016 07:01:21 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB05410011
4062920476,図説金枝篇 上 / 講談社学術文庫 ; 2047,"Frazer, James George, 1854-1941,MacCormack, Sabine,吉岡, 晶子, 1942-,Douglas, Mary, 1921-2007,J.G.フレーザー 著,S.マコーマック 編,吉岡晶子 訳,M.ダグラス 監修",講談社,"Wed, 2 Mar 2016 07:01:21 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB05410011
