isbn_or_asin,book_title,author,publisher,published_date
4814400799,脳に収まるコードの書き方 : 複雑さを避け持続可能にするための経験則とテクニック,"Seemann,Mark 吉羽,龍太郎 原田,騎郎",オーム社,202406
482400702X,ただのぽんこつ母さんだと思っていたらADHDグレーでした。 (はちみつコミックエッセイ),はなゆい,オーバーラップ,202401
477752275X,よくわかる世界のサイバー犯罪 : フェイクニュース、スパイウェア、個人情報の流出から身を守る : サイバー犯罪の現在を知り自分の身を守ろう (I/O BOOKS),"御池,鮎樹",工学社,202404
4791714636,特集民俗学の現在,,青土社,202405
4774143731,3分間ネットワーク基礎講座 : 世界一わかりやすいネットワークの授業,"網野,衛二",技術評論社,201010
4802613903,発達障害・メンタル不調などに気づいたときに読む本 : 精神科の受診や特徴までがわかる,"浜内,彩乃",ソシム,202212
4908686106,Webブラウザセキュリティ : Webアプリケーションの安全性を支える仕組みを整理する,"米内,貴志",ラムダノート,202101
4005007929,キリスト教入門 792 (岩波ジュニア新書),"山我,哲雄,1951-",岩波書店,201412
4022618655,関西人の正体 い45-4 (朝日文庫),"井上,章一,1955-",朝日新聞出版,201607
4535788987,楕円積分と楕円関数 : おとぎの国の歩き方,"武部,尚志",日本評論社,201909
4627061714,よくわかるトポロジー,"山本,修身",森北出版,201504
4062573962,制御工学の考え方 : 産業革命は「制御」からはじまった (ブルーバックス),"木村,英紀,1941-",講談社,200212
4274231534,Pythonによる制御工学入門,"南,裕樹,1982-",オーム社,202401
4065301211,はじめての現代制御理論 = A 1st Course in Modern Control Theory,"佐藤,和也,制御工学 下本,陽一 熊澤,典良",講談社,202212
4065137470,はじめての制御工学 = A 1st Course in Control Engineering,"佐藤,和也,制御工学 平元,和彦 平田,研二",講談社,201811
4274224309,実践ロボット制御 : 基礎から動力学まで,"細田,耕,1965-",オーム社,201911
4263731638,マイナーエマージェンシー,"大滝,純司,1958- 齊藤,裕之 Buttaravoli,PhilipM Leffler,StephenM",医歯薬出版,201503
4065146852,"線形性・固有値・テンソル = Linearity,Eigenvalue,Tensor : 〈線形代数〉応用への最短コース","原,啓介,1968-",講談社,201902
4903342611,整数の分割,G.アンドリュース／著 Ｋ．エリクソン／著 佐藤文広／訳,数学書房,20060531
4480512233,ガロアの夢 群論と微分方程式 ク-36-1 (ちくま学芸文庫),久賀道郎／本文,筑摩書房,20231211
4087211169,著作権とは何か : 文化と創造のゆくえ 1016 (集英社新書),"福井,健策,1965-",集英社,202003
4635140075,感謝されない医者 : ある凍傷Dr.のモノローグ,"金田,正樹,1946-2019",山と溪谷社,200703
4320125673,データ分析失敗事例集 = Data Analytics Nightmare : 失敗から学び、成功を手にする,"尾花山,和哉 ホクソエム",共立出版,202308
4535559961,医療の経済学 = Health Economics : 経済学の視点で日本の医療政策を考える,"河口,洋行",日本評論社,202012
4798069744,ストレンジコード : 難解プログラミング言語を巡る不思議な旅,"Kneusel,RonaldT 水野,貴明,1973- 竹迫,良範,1977-",秀和システム,202402
4320113845,実解析の助け舟 : 証明の理解に必要なすべてのツール,"Grinberg,Raffi,1990- 蟹江,幸博,1948-",共立出版,201909
4062576201,高校数学でわかるボルツマンの原理 : 熱力学と統計力学を理解しよう B-1620 (ブルーバックス),"竹内,淳,1960-",講談社,200811
4062575450,高校数学でわかる半導体の原理 : 電子の動きを知って理解しよう B-1545 (ブルーバックス),"竹内,淳,1960-",講談社,200703
4062574705,高校数学でわかるシュレディンガー方程式 : 量子力学を学びたい人、ほんとうに理解したい人へ (ブルーバックス),"竹内,淳,1960-",講談社,200503
4621309048,アルゴリズム設計マニュアル. 下,"Skiena,StevenS 平田,富夫,1949-",丸善出版,202401
462130903X,アルゴリズム設計マニュアル. 上,"Skiena,StevenS 平田,富夫,1949-",丸善出版,202401
4908686165,プログラマーのためのCPU入門 : CPUは如何にしてソフトウェアを高速に実行するか,TakenobuTani,ラムダノート,202301
4339013730,"可視化と科学・文化・社会 = Visualization for Science,Digital Humanities,and Sociology 3 (メディアテクノロジーシリーズ)","竹島,由里子 伊藤,貴之 宮地,英生 田中,覚",コロナ社,202310
4339013749,ゲームグラフィックス表現技法 = Creative Techniques for Game Graphics 4 (メディアテクノロジーシリーズ),"金久保,哲也",コロナ社,202402
4492313702,現代マクロ経済学講義 : 動学的一般均衡モデル入門,"加藤,涼",東洋経済新報社,200701
4313180656,公務員の議会答弁言いかえフレーズ,"森下,寿",学陽書房,202110
4627852614,"超高速グラフ列挙アルゴリズム : 〈フカシギの数え方〉が拓く,組合せ問題への新アプローチ","湊,真一 科学技術振興機構",森北出版,201504
4478113408,Science Fictionsあなたが知らない科学の真実,"Ritchie,Stuart(StuartJ.) 矢羽野,薫,1969-",ダイヤモンド社,202401
4274224473,マスタリングTCP/IP 入門編,"井上,直也,1974- 村山,公保,1967- 竹下,降史,1965-",オーム社,201911
4782706863,大学の化学への招待,"井上,亨,1947- 川田,知,1960- 栗原,寬人,1933-",三共出版,201303
4585390340,今昔物語集の怪異を読む : 巻第二十七「霊鬼」,"森,正人,1948-",勉誠社,202312
4589043041,無作為抽出ウェブ調査の挑戦,"杉野,勇 平沢,和司,1962-",法律文化社,202401
4863544332,改訂新版 インフラエンジニアの教科書,佐野裕／著,シーアンドアール研究所,20231114
4560096392,ヨーロッパ中世象徴史,"Pastoureau,Michel,1947- 篠田,勝英,1948-",白水社,201805
4901007092,家政婦は見られた! : 土曜ワイド劇場(テレビ朝日系列)家政婦は見た!公式ガイドブック,"柴, 英三郎, 1926-,大沢家政婦研究所,柴英三郎 監修,大沢家政婦研究所 編",音羽出版,"Sat, 20 Mar 2010 08:59:59 +0900"
4815618593,体験しながら学ぶネットワーク技術入門,"みやた,ひろし",SBクリエイティブ,202401
484437849X,はじめて学ぶバイナリ解析 : 不正なコードからコンピュータを守るサイバーセキュリティ技術 / Next Publishing. OnDeck Books,"小林, 佐保,岡田, 怜士,浅部, 佑,満永, 拓邦,小林佐保, 岡田怜士, 浅部佑, 満永拓邦 著",[object Object],"Fri, 16 Oct 2020 04:54:12 +0900"
4594062539,マンガけもの道 : まんだらけ中野店副店長の珍作発掘探訪,"岩井, 道,岩井道 著",扶桑社,"Wed, 13 Oct 2010 00:10:12 +0900"
4469244082,これでいいのか大学入試英語 下,"Watkins,Gareth",大修館書店,199710
4469244074,これでいいのか大学入試英語 上,"Watkins,Gareth",大修館書店,199710
4309419267,屋根裏に誰かいるんですよ。 : 都市伝説の精神病理 か17-4 (河出文庫),"春日,武彦,1951-",河出書房新社,202210
4295013498,スーパーユーザーなら知っておくべきLINUXシステムの仕組み,"Ward,Brian,1972- 柴田,芳樹,1959-",インプレス,202203
4094083359,実録死体農場 / 小学館文庫,"Bass, William M,Jefferson, Jon,相原, 真理子, 1947-2010,ビル・バス, ジョン・ジェファーソン 著,相原真理子 訳",小学館,"Thu, 24 Jan 2013 07:02:29 +0900"
4775313010,図解魔術の歴史 No.048 (F FILES),"草野,巧,1956-",新紀元社,201503
4876872112,鉄道重大事故の歴史,"久保田,博,1924-",グランプリ出版,200006
4876874123,鉄道重大事故の歴史 : 鉄道事故に見る安全技術の進化,"久保田,博",グランプリ出版,202401
