bookmeter_url,isbn_or_asin,book_title,author,publisher,published_date
https://bookmeter.com/books/164833,4641123721,プラクティカル産業組織論 (有斐閣アルマ),"泉田,成美 柳川,隆,1959-",有斐閣,200812
https://bookmeter.com/books/18279560,4622090260,精霊に捕まって倒れる : 医療者とモン族の患者、二つの文化の衝突,"Fadiman,Anne,1953- 忠平,美幸,1962- 齋藤,慎子",みすず書房,202108
https://bookmeter.com/books/2110227,4560509549,性倒錯 : 様々な性のかたち 954 (文庫クセジュ),"Bonnet,Gérard,1934- 西尾,彰泰 守谷,てるみ",白水社,201102
https://bookmeter.com/books/12434400,4757123329,ジェイン・オースティンに学ぶゲーム理論 : 恋愛と結婚をめぐる戦略的思考,"Chwe,MichaelSuk-Young,1965- 川越,敏司,1970-",NTT出版,201712
https://bookmeter.com/books/14621694,4274224546,リファクタリング : 既存のコードを安全に改善する,"Fowler,Martin,1963- 児玉,公信 友野,晶夫 平澤,章,1961-",オーム社,201911
https://bookmeter.com/books/17755238,4040823915,新L型経済 : コロナ後の日本を立て直す K-353 (角川新書),"冨山,和彦 田原,総一朗,1934-",KADOKAWA,202104
https://bookmeter.com/books/17307191,4480510125,比較歴史制度分析　下 ク－３１－２ (ちくま学芸文庫),アブナー・グライフ／著 岡崎哲二／監修・翻訳 神取道宏／監修・翻訳,筑摩書房,20210213
https://bookmeter.com/books/17306975,4480510117,比較歴史制度分析　上 ク－３１－１ (ちくま学芸文庫),アブナー・グライフ／著 岡崎哲二／監修・翻訳 神取道宏／監修・翻訳,筑摩書房,20210213
https://bookmeter.com/books/58803,4480091629,奇談異聞辞典 / ちくま学芸文庫,"柴田, 宵曲, 1897-1966,柴田宵曲 編",筑摩書房,"Sun, 29 Oct 2023 17:11:56 +0900"
https://bookmeter.com/books/14324950,4336060398,江戸怪談文芸名作選 第5巻,"木越,治,1948-2018 勝又,基 木越,俊介",国書刊行会,201909
https://bookmeter.com/books/579717,4121902904,ルワンダ中央銀行総裁日記 290 (中公新書),"服部,正也,1918-1999",中央公論新社,200911
https://bookmeter.com/books/17515088,4480510346,重力と力学的世界　下 ヤ－１８－５ (ちくま学芸文庫),山本義隆／著,筑摩書房,20210312
https://bookmeter.com/books/17306528,4480510338,重力と力学的世界　上 ヤ－１８－４ (ちくま学芸文庫),山本義隆／著,筑摩書房,20210213
https://bookmeter.com/books/17202464,462208970X,アーカイブの思想 : 言葉を知に変える仕組み,"根本,彰,1954-",みすず書房,202101
https://bookmeter.com/books/13770852,4801919332,桂歌丸口伝圓朝怪談噺,"三遊亭,円朝,1839-1900 桂,歌丸,1936-2018 藤浦,敦,1930-",竹書房,201907
https://bookmeter.com/books/322731,4480092595,解析序説,小林龍一／著 廣瀬健／著 佐藤總夫／著,筑摩書房,20100101
https://bookmeter.com/books/532872,4480025898,パラノイア創造史,荒俣宏／著,筑摩書房,19910101
https://bookmeter.com/books/1553197,4572001200,おらんだ正月 : 江戸時代の科学者達 / 冨山房百科文庫 20,"森銑三,森銑三 著",冨山房,"Wed, 9 Dec 2009 09:00:00 +0900"
https://bookmeter.com/books/181705,4004140412,"黄表紙・洒落本の世界 (岩波新書, 青版 986)","水野,稔",岩波書店,197612
https://bookmeter.com/books/7852816,4641150060,マクロ経済学の第一歩（2色） (有斐閣ストゥディア),柴田章久／著・文・その他 宇南山卓／著・文・その他,有斐閣,20131218
https://bookmeter.com/books/12782277,4276214130,人工知能が音楽を創る,デイヴィッド・コープ／著 平田圭二／監修 今井慎太郎／翻訳 大村英史／翻訳 東条敏／翻訳,音楽之友社,20190624
https://bookmeter.com/books/16255389,4562057831,天使と人の文化史,"Stanford,Peter,1961- 白須,清美,1969-",原書房,202008
https://bookmeter.com/books/476799,4790714411,数理神学を学ぶ人のために,"落合,仁司,1953-",世界思想社,200911
https://bookmeter.com/books/36051,4422202294,天使辞典,"Davidson,Gustav,1895-1971 吉永,進一,1957-2022",創元社,200411
https://bookmeter.com/books/16997440,4791703944,特集*偽書の世界 : ディオニュシオス文書、ヴォイニッチ写本から神代文字、椿井文書まで,,青土社,"Fri, 12 Sep 2025 14:43:04 +0900"
https://bookmeter.com/books/17157947,4582769128,魔法 : その歴史と正体 912 (平凡社ライブラリー),"Seligmann,Kurt,1900-1962 平田,寛,1910-1993 沢井,繁男,1954-",平凡社,202101
https://bookmeter.com/books/81432,4781911609,プログラミングの基礎 3 (Computer science library),"浅井,健一",サイエンス社,200702
https://bookmeter.com/books/1036629,B000J8V7VE,Not_found_in_OpenBD,Not_found_in_OpenBD,Not_found_in_OpenBD,Not_found_in_OpenBD
https://bookmeter.com/books/2269795,4022603631,音楽 : 展望と批評 3 / 朝日文庫,"吉田, 秀和, 1913-2012,吉田秀和 著",朝日新聞社,"Mon, 28 May 2012 18:11:54 +0900"
https://bookmeter.com/books/3013823,4022603623,音楽 : 展望と批評 2 / 朝日文庫,"吉田, 秀和, 1913-2012,吉田秀和 著",朝日新聞社,"Mon, 28 May 2012 18:11:48 +0900"
https://bookmeter.com/books/2228829,4022603615,音楽 : 展望と批評 1 / 朝日文庫,"吉田, 秀和, 1913-2012,吉田秀和 著",朝日新聞社,"Mon, 28 May 2012 18:11:43 +0900"
https://bookmeter.com/books/11204476,4163905596,最古の文字なのか? : 氷河期の洞窟に残された32の記号の謎を解く,"VonPetzinger,Genevieve 櫻井,祐子,1965-",文藝春秋,201611
