isbn_or_asin,book_title,author,publisher,published_date,sophia_opac,sophia_mathlib_opac
4000612468,社会科学のためのデータ分析入門. 下,"今井,耕介 粕谷,祐子,1968- 原田,勝孝 久保,浩樹",岩波書店,201804,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB25765042,
400061245X,社会科学のためのデータ分析入門. 上,"今井,耕介 粕谷,祐子,1968- 原田,勝孝",岩波書店,201803,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB25765042,
4863135939,地球史マップ : 誕生・進化・流転の全記録,"Grataloup,Christian 藤村,奈緒美 瀧下,哉代 辻森,樹,1972-",日経BPマーケティング,202401,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD05186557,
4065221382,統計力学入門 = Introduction to Statistical Mechanics : 愚問からのアプローチ,"高橋,康,1923-2013",講談社,202104,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC06949704,
4000298968,テキストアナリティクスの基礎と実践 1 (テキストアナリティクス),"金,明哲,1954- 金,明哲,1954-",岩波書店,202103,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC06431783,
4309421121,日本怪奇物語 と13-1 (河出文庫),"富岡,直方",河出書房新社,202406,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07213978,
479520120X,数論を学ぶ人のための相互法則入門 18 (数理情報科学シリーズ),"平松,豊一,1937-",星雲社,199805,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA35679868,
4535559473,地域データ分析入門 = Introduction to Regional Data Analysis : すぐに役立つEBPM実践ガイドブック,"林,宜嗣,1951- 林,亮輔,1983- 高林,喜久生,1953- 林,勇貴,1988- ほか",日本評論社,202112,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC11791427,
4627078919,数論幾何入門,三枝洋一,森北出版,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07163439,
4297141922,Rustで作るプログラミング言語 —— コンパイラ／インタプリタの基礎からプログラミング言語の新潮流まで,佐久田昌博,技術評論社,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07372654,
4048931164,関数型ドメインモデリング : ドメイン駆動設計とF#でソフトウェアの複雑さに立ち向かおう,"Wlaschin,Scott 猪股,健太郎,1975-",KADOKAWA,202406,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07594714,
4254122128,基礎からのベイズ統計学 : ハミルトニアンモンテカルロ法による実践的入門,"豊田,秀樹,1961-",朝倉書店,201506,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB18938264,
4814400799,脳に収まるコードの書き方 : 複雑さを避け持続可能にするための経験則とテクニック,"Seemann,Mark 吉羽,龍太郎 原田,騎郎",オーム社,202406,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07378220,
4771036543,聖家族の終焉とおじさんの逆襲 = Das Ende der Heiligen Familie und der Gegenangriff des Onkels : 両大戦間期ドイツ児童文学の世界,"佐藤,文彦,1973-",晃洋書房,202212,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4771036543,
427423116X,Pythonで学ぶ効果検証入門 = Learn Impact Evaluation With Python,"安井,翔太 伊藤,寛武 金子,雄祐",オーム社,202405,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07209154,
4320124960,機械学習 : ベイズと最適化の観点から,"Theodoridis,Sergios,1951- 岩野,和生 中島,秀之,1952-",共立出版,202212,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC18912508,
4065225493,これならわかる機械学習入門 = Understanding Machine Learning from Scratch,"富谷,昭夫",講談社,202103,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4065225493,
4297111179,効果検証入門 : 正しい比較のための因果推論/計量経済学の基礎,"安井,翔太 ホクソエム",技術評論社,202001,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29538290,
4758121214,基礎から学ぶ統計学,"中原,治,1966-",羊土社,202209,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16787507,
4807920294,データサイエンスと機械学習 : 理論からPythonによる実装まで (DIGITAL FOREST),"Kroese,DirkP Botev,ZdravkoI.,1982- Taimre,Thomas,1983- ほか",東京化学同人,202212,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC18727710,
4254114850,固有値問題30講 10 (数学30講シリーズ),"志賀,浩二,1930-",朝倉書店,199104,,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784254114850&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
4627097034,ベイズデータ解析,"Gelman,Andrew Carlin,JohnB Stern,HalSteven ほか",森北出版,202406,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07649394,
4903814874,時系列分析と状態空間モデルの基礎 = Foundations of Time Series Analysis and State Space Models : RとStanで学ぶ理論と実装,"馬場,真哉,1990-",プレアデス出版,201803,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB25542434,
4334044689,日本の少子化対策はなぜ失敗したのか? : 結婚・出産が回避される本当の原因 1067 (光文社新書),"山田,昌弘,1957-",光文社,202005,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB30607674,
4065347823,グラフニューラルネットワーク = Graph Neural Networks (機械学習プロフェッショナルシリーズ),"佐藤,竜馬,1996- 杉山,将",講談社,202404,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD0659685X,
4535540284,定量的マクロ経済学と数値計算,北尾早霧 砂川武貴 山田知明,日本評論社,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07376881,
4798157775,最強囲碁AIアルファ碁解体新書 : 深層学習、モンテカルロ木探索、強化学習から見たその仕組み,"大槻,知史 三宅,陽一郎,1975-",翔泳社,201807,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26440462,
4121101480,日本の小説の翻訳にまつわる特異な問題 : 文化の架橋者たちがみた「あいだ」 147 (中公選書),"片岡,真伊,1987-",中央公論新社,202402,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD05608002,
4320125797,量子情報科学入門 第2版,石坂智 小川朋宏 河内亮周 木村元 林正人,,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07209223,
4535789614,線形代数と数え上げ,"高崎,金久,1956-",日本評論社,202112,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC11558400,
4764906457,ストラング:教養の線形代数 (世界標準MIT教科書),"Strang,Gilbert 松崎,公紀 平鍋,健児",近代科学社,202303,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01153840,
4764904055,ストラング:線形代数イントロダクション (世界標準MIT教科書),"Strang,Gilbert 松崎,公紀 新妻,弘,1946-",近代科学社,201512,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB20319753,
4816372466,パワーエレクトロニクス = POWER ELECTRONICS : カラー徹底図解 : パワーエレクトロニクスの基本と本質をつかむために最適の一冊!,"赤津,観,1972-",ナツメ社,202208,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC1584082X,
4560049173,レトリカ : 比喩表現事典,"榛谷,泰明,1935-2014",白水社,199401,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN10348727,
